ID,WEIGHT,LENGTH
20190360,3.125,40.0
20190361,1.79,31.0
20190362,4.695,45.0
20190363,3.15,33.7
20190364,3.425,42.1
20190365,1.275,30.5
20190366,4.7,43.5
20190367,2.175,35.0
20190368,3.72,41.8
20190369,1.875,29.3
20190370,1.14,28.0
20190371,4.5,44.5
20190372,2.05,33.2
20190373,1.71,33.2
20190374,1.125,27.2
20190375,1.91,36.2
20190376,3.375,37.0
20190377,1.29,29.1
20190378,4.775,38.1
20190379,5.5,46.0
20190380,1.83,34.5
20190381,4.085,42.0
20190382,8.5,58.5
20190383,5.3,42.3
20190384,2.8,36.4
20190385,3.48,38.5
20190386,8.27,54.6
20190387,2.0,31.5
20190388,1.975,32.0
20190389,7.43,53.2
20190390,1.53,30.0
20190391,2.445,33.2
20190392,4.64,46.7
20190393,5.675,49.6
20190394,1.585,28.7
20190395,4.315,46.5
20190396,2.0,30.5
20190397,5.015,48.9
20190398,1.175,29.7
20190399,4.0,42.0
20190400,3.75,44.0
20190401,2.93,39.6
20190402,2.17,32.5
20190403,1.325,32.7
20190404,2.0,33.2
20190405,5.5,44.2
20190406,1.5,32.2
20190407,6.28,49.6
20190408,4.53,44.2
20190409,1.45,35.2
20190410,5.55,45.3
20190411,6.05,47.5
20190412,3.56,44.8
20190413,2.0,31.3
20190414,1.125,28.7
20190415,2.6,38.0
20190416,4.145,39.7
20190417,4.18,41.7
20190418,6.5,44.9
20190419,6.0,46.2
20190420,7.25,50.5
20190421,8.42,56.0
20190422,1.885,42.2
20190423,7.945,57.1
20190424,12.75,60.4
20190425,2.095,32.6
20190426,2.965,34.9
20190427,2.29,34.8
20190428,3.09,37.7
20190429,5.145,42.6
20190430,4.5,45.1
20190431,4.73,45.3
20190432,3.75,42.2
20190433,5.0,44.2
20190434,1.975,35.9
20190435,2.25,31.2
20190436,5.5,50.2
20190437,1.76,32.9
20190438,4.0,45.0
20190439,2.695,30.6
20190440,3.15,37.0
20190441,6.5,49.7
20190442,5.625,46.9
20190443,2.875,35.8
20190444,1.71,30.0
20190445,4.435,44.0
20190446,5.065,48.5
20190447,2.5,38.3
20190448,3.51,43.2
20190449,1.805,33.1
20190450,1.4,26.0
20190451,5.15,37.1
20190452,2.06,32.8
20190453,1.125,29.0
20190454,4.25,39.2
20190455,3.625,35.1
20190456,3.845,43.0
20190457,3.63,44.6
20190458,1.7,32.4
20190459,5.25,48.4
20190460,4.55,44.5
20190461,3.63,40.4
20190462,4.315,39.7
20190463,4.025,44.9
20190464,1.07,28.5
20190465,2.83,37.3
20190466,1.625,31.4
20190467,1.875,31.7
20190468,4.75,44.0
20190469,4.705,46.0
20190470,1.05,29.0
20190471,6.54,49.0
20190472,2.58,40.2
20190473,1.2,27.2
20190474,1.7,32.7
20190475,8.505,46.0
20190476,6.375,50.8
20190477,1.55,28.5
20190478,2.0,35.5
20190479,5.51,46.2
20190480,1.105,27.0
20190481,4.95,45.9
20190482,5.93,47.2
20190483,4.25,40.2
20190484,5.215,47.0
20190485,2.995,35.5
20190486,5.845,57.2
20190487,7.06,51.0
20190488,3.27,37.0
20190489,2.95,33.4
20190490,3.135,43.2
20190491,2.115,36.0
20190492,1.25,29.1
20190493,4.675,44.2
20190494,2.39,38.2
20190495,1.75,34.0
20190496,8.25,52.9
20190497,1.57,33.1
20190498,1.82,29.5
20190499,1.08,21.5
20190500,3.66,37.5
20190501,8.935,58.4
20190502,1.25,28.0
20190503,14.5,61.4
20190504,2.42,38.6
20190505,1.16,28.8
20190506,4.6,45.5
20190507,1.86,32.5
20190508,1.97,31.8
20190509,1.125,26.6
20190510,2.1,31.3
20190511,2.15,35.1
20190512,4.555,40.2
20190513,3.5,38.1
20190514,2.0,30.2
20190515,1.65,29.5
20190516,3.25,37.9
20190517,6.0,40.8
20190518,10.125,57.4
20190519,2.02,30.3
20190520,2.9,37.5
20190521,2.8,32.5
20190522,4.7,47.0
20190523,5.525,50.5
20190524,4.1,34.5
20190525,3.5,35.0
20190526,5.5,46.4
20190527,5.625,48.4
20190528,3.91,41.3
20190529,5.0,46.6
20190530,2.75,43.2
20190531,8.75,52.7
20190532,2.0,31.1
20190533,4.065,41.0
20190534,1.275,28.2
20190535,1.625,29.5
20190536,1.8,31.1
20190537,2.005,36.5
20190538,8.095,58.6
20190539,3.035,39.3
20190540,3.745,49.3
20190541,1.75,33.0
20190542,1.625,28.5
20190543,9.655,54.5
20190544,5.5,46.0
20190545,5.12,45.7
20190546,1.58,30.0
20190547,5.81,55.3
20190548,13.875,60.3
20190549,3.15,35.6
20190550,3.785,43.0
20190551,3.5,34.7
20190552,3.45,34.4
20190553,4.8,47.8
20190554,3.885,40.6
20190555,5.705,47.5
20190556,2.5,35.8
20190557,9.125,54.0
20190558,3.75,35.8
20190559,2.105,34.9
20190560,4.25,43.9
20190561,4.54,45.8
20190562,5.625,46.8
20190563,1.015,28.5
20190564,1.76,35.4
20190565,3.97,40.0
20190566,5.7,46.3
20190567,1.0,25.7
